Date,Date entered,Reference,Description,Amount,
13/04/2024,15/04/2024,20000019,UBER   *TRIP            ,6.92,
13/04/2024,15/04/2024,00000204,UBER   *TRIP            ,5.91,
13/04/2024,15/04/2024,10000026,Zettle_*PGT Hook and S  ,10.00,
13/04/2024,15/04/2024,00000101,Zettle_*Comptoir Gourm  ,12.20,
13/04/2024,15/04/2024,20000092,TFL TRAVEL CH           ,6.00,
13/04/2024,15/04/2024,20000091,TFL TRAVEL CH           ,6.00,
12/04/2024,15/04/2024,50000134,ZETTLE_*DF TACOS        ,5.70,
12/04/2024,15/04/2024,10000216,TFL TRAVEL CH           ,6.00,
12/04/2024,15/04/2024,40000147,SAINSBURYS S/MKTS       ,2.54,
12/04/2024,15/04/2024,90000148,MARKS&SPENCER PLC SF    ,12.70,
11/04/2024,12/04/2024,30000146,TFL TRAVEL CH           ,7.40,
11/04/2024,12/04/2024,30000133,LIDL GB LONDON          ,17.79,
11/04/2024,12/04/2024,30000102,MML - TOWER PLACE EAST  ,2.55,
11/04/2024,12/04/2024,40000218,ASDA SUPERSTORE         ,5.35,
11/04/2024,12/04/2024,40000217,ASDA SUPERSTORE         ,25.99,
11/04/2024,12/04/2024,60000037,LONDIS VILLAGE SHOP     ,8.59,
11/04/2024,12/04/2024,10000172,Mama Li Tower Street    ,10.99,
10/04/2024,11/04/2024,90000081,LIDL GB LONDON          ,30.45,
10/04/2024,11/04/2024,20000080,Amazon.co.uk*HP95N74N4  ,14.00,
09/04/2024,11/04/2024,70000191,AMAZON* 204-4274345-18  ,7.64,
09/04/2024,11/04/2024,00000220,TFL TRAVEL CH           ,6.00,
09/04/2024,10/04/2024,90000058,AMAZON* 204-3667272-27  ,3.99,
09/04/2024,10/04/2024,90000055,AMAZON* 204-7880281-60  ,9.99,
09/04/2024,10/04/2024,00000131,LIDL GB LONDON          ,41.48,
09/04/2024,10/04/2024,80000148,Market Hall Oxford Str  ,14.00,
08/04/2024,09/04/2024,90000168,TFL TRAVEL CH           ,9.50,
08/04/2024,09/04/2024,40000138,CO OP GROUP FOOD        ,5.00,
08/04/2024,09/04/2024,40000017,ASDA SUPERSTORE         ,23.65,
08/04/2024,09/04/2024,40000016,ASDA SUPERSTORE         ,2.50,
08/04/2024,09/04/2024,20000094,LIDL GB LONDON          ,17.57,
08/04/2024,09/04/2024,00000031,COSTA COFFEE 43010409   ,3.40,
07/04/2024,09/04/2024,80000248,AMAZON* 204-4128524-46  ,10.99,
07/04/2024,08/04/2024,40000019,Cars on Booking         ,130.37,
06/04/2024,08/04/2024,50000101,ASDA SUPERSTORE         ,21.45,
06/04/2024,08/04/2024,60000174,LIDL GB LONDON          ,60.77,
06/04/2024,08/04/2024,70000016,SPL_SECRETLAB - UK      ,186.63,
05/04/2024,08/04/2024,90000086,TFL TRAVEL CH           ,3.80,
05/04/2024,08/04/2024,90000079,TFL TRAVEL CH           ,3.80,
